,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
384,EM-MD-120a.1b,Air emissions for SO
385,EM-MD-120a.1c,Air emissions for volatile organic compounds (VOCs)
386,EM-MD-120a.1d,Air emissions for particulate matter (PM)
387,EM-MD-160a.1a,Description of environmental management policies and practices for active operations
388,EM-MD-160a.2a,"Percentage of land owned, leased, and/or operated within areas of protected conservation status or endangered species habitat"
389,EM-MD-160a.3a,Terrestrial acreage disturbed
390,EM-MD-160a.3b,Percentage of impacted area restored
391,EM-MD-160a.4a,Number of hydrocarbon spills
392,EM-MD-160a.4b,Aggregate volume of hydrocarbon spills
393,EM-MD-160a.4c,Volume of hydrocarbon spills in Arctic
394,EM-MD-160a.4d,Volume of hydrocarbon spills in Unusually Sensitive Areas (USAs)
395,EM-MD-160a.4e,Volume recovered
396,EM-MD-520a.1a,Total amount of monetary losses with as a result of legal proceedings associated with federal pipeline regulations
397,EM-MD-520a.1b,Total amount of monetary losses as a result of legal proceedings associated with federal storage regulations
398,EM-MD-520a.1c,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
399,EM-MD-540a.1a,Number of reportable pipeline incidents
400,EM-MD-540a.1b,Percentage of reportable pipeline incidents that are significant
401,EM-MD-540a.2a,Percentage of natural gas pipelines inspected
402,EM-MD-540a.2b,Percentage of hazardous liquid pipelines inspected
403,EM-MD-540a.2c,Inspection technologies used other than those listed
404,EM-MD-540a.3a,Number of accident releases from rail transportation
405,EM-MD-540a.3b,Number of non-accident releases (NARs) from rail transportation
406,EM-MD-540a.3c,"Disclosure shall include a discussion of processes, procedures, and strategies to manage non-accident and accident releases"
407,EM-MD-540a.4a,Discussion of management systems used to integrate a culture of safety and emergency preparedness throughout the value chain and throughout project lifecycles
408,EM-MM-000.Aa,Production of metal ores
409,EM-MM-000.Ab,Production of finished metal products
410,EM-MM-000.Ba,Total number of employees
411,EM-MM-000.Bb,Percentage of employees who are contractors
412,EM-MM-110a.1a,Gross global Scope 1 emissions
413,EM-MM-110a.1b,Percentage of gross global Scope 1 emissions covered under emissions-limiting regulations
414,EM-MM-110a.2a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
415,EM-MM-120a.1a,Air emissions for the following pollutant: CO
416,EM-MM-120a.1b,Air emissions for the following pollutant: NO (excluding N O)
417,EM-MM-120a.1c,Air emissions for the following pollutant: SO
418,EM-MM-120a.1d,Air emissions for the following pollutant: particulate matter (PM)
419,EM-MM-120a.1e,Air emissions for the following pollutant: mercury (Hg)
420,EM-MM-120a.1f,Air emissions for the following pollutant: lead (Pb)
421,EM-MM-120a.1g,Air emissions for the following pollutant: volatile organic compounds (VOCs)
422,EM-MM-130a.1a,Total energy consumed
423,EM-MM-130a.1b,Percentage of total energy consumed that is grid electricity
424,EM-MM-130a.1c,Percentage of total energy consumed that is renewable energy
425,EM-MM-140a.1a,Total fresh water withdrawn
426,EM-MM-140a.1b,Total fresh water consumed
427,EM-MM-140a.1c,Percentage of fresh water withdrawn in regions with High or Extremely High Baseline Water Stress
428,EM-MM-140a.1d,Percentage of fresh water consumed in regions with High or Extremely High Baseline Water Stress
429,EM-MM-140a.2a,Number of incidents of non-compliance associated with water quality permits
430,EM-MM-140a.2b,Number of incidents of non-compliance associated with water quality standards
431,EM-MM-140a.2c,Number of incidents of non-compliance associated with water quality regulations
432,EM-MM-150a.1a,Total weight of tailings waste
433,EM-MM-150a.1b,Percentage of total weight of tailings waste that is recycled
434,EM-MM-150a.2a,Total weight of mineral processing waste
435,EM-MM-150a.2b,Percentage of total weight of mineral processing waste that is recycled
436,EM-MM-150a.3a,"Number of tailings impoundments, broken down by MSHA hazard potential"
437,EM-MM-160a.1a,Description of environmental management policies and practices for active sites
438,EM-MM-160a.2a,Percentage of mine sites where acid rock drainage is predicted to occur
439,EM-MM-160a.2b,Percentage of mine sites where acid rock drainage is actively mitigated
440,EM-MM-160a.2c,Percentage of mine sites where acid rock drainage is under treatment or remediation
441,EM-MM-160a.3a,Percentage of proved reserves in or near sites with protected conservation status or endangered species habitat
442,EM-MM-160a.3b,Percentage of probable reserves in or near sites with protected conservation status or endangered species habitat
443,EM-MM-210a.1a,Percentage of proved reserves in or near areas of conflict
444,EM-MM-210a.1b,Percentage of probable reserves in or near areas of conflict
445,EM-MM-210a.2a,Percentage of proved reserves in or near indigenous land
446,EM-MM-210a.2b,Percentage of probable reserves in or near indigenous land
447,EM-MM-210a.3a,"Discussion of engagement processes and due diligence practices with respect to human rights, indigenous rights, and operation in areas of conflict"
448,EM-MM-210b.1a,Discussion of process to manage risks and opportunities associated with community rights and interests
449,EM-MM-210b.2a,Number of non-technical delays
450,EM-MM-210b.2b,Duration of non-technical delays
451,EM-MM-310a.1a,Percentage of active U.S. workforce covered under collective bargaining agreements.
452,EM-MM-310a.1b,Percentage of active foreign workforce covered under collective bargaining agreements.
453,EM-MM-310a.2a,Number of strikes and lockouts
454,EM-MM-310a.2b,Duration of strikes and lockouts
455,EM-MM-310a.2c,Disclosure shall include a description of the root cause for each work stoppage
456,EM-MM-320a.1a,MSHA All-Incidence Rate for full-time employees
457,EM-MM-320a.1b,MSHA All-Incidence Rate for contract employees
458,EM-MM-320a.1c,Fatality Rate for full-time employees
459,EM-MM-320a.1d,Fatality Rate for contract employees
460,EM-MM-320a.1e,Near Miss Frequency Rate for full-time employees
461,EM-MM-320a.1f,Near Miss Frequency Rate for contract employees
462,EM-MM-320a.1g,"Average hours of health, safety, and emergency response training for full-time employees"
463,EM-MM-320a.1h,"Average hours of health, safety, and emergency response training for contract employees"
464,EM-MM-320a.1i,List of training topics not listed under Regulation U.S. 29 CFR Part 1910
465,EM-MM-510a.1a,Description of the management system for prevention of corruption and bribery throughout the value chain
466,EM-MM-510a.2a,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
467,EM-RM-000.Aa,Refining throughput of crude oil and other feedstocks
468,EM-RM-000.Ba,Refining operating capacity
469,EM-RM-110a.1a,Gross global Scope 1 emissions
470,EM-RM-110a.1b,Percentage of gross global Scope 1 emissions covered under emissions-limiting regulations
471,EM-RM-110a.2a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
472,EM-RM-120a.1a,Air emissions of the following pollutants: NO (excluding N O)
473,EM-RM-120a.1b,Air emissions of the following pollutants: SO
474,EM-RM-120a.1c,Air emissions of the following pollutants: particulate matter (PM)
475,EM-RM-120a.1d,Air emissions of the following pollutants: H S
476,EM-RM-120a.1e,Air emissions of the following pollutants: volatile organic compounds (VOCs)
477,EM-RM-120a.2a,Number of refineries in or near areas of dense population
478,EM-RM-140a.1a,Total fresh water withdrawn
479,EM-RM-140a.1b,Percentage of total fresh water withdrawn that is recycled
480,EM-RM-140a.1c,Percentage of total fresh water withdrawn in regions with High or Extremely High Baseline Water Stress
481,EM-RM-140a.2a,Number of incidents of non-compliance associated with water quality permits
482,EM-RM-140a.2b,Number of incidents of non-compliance associated with water quality standards
483,EM-RM-140a.2c,Number of incidents of non-compliance associated with water quality regulations
484,EM-RM-150a.1a,Amount of hazardous waste
485,EM-RM-150a.1b,Percentage of hazardous waste that is recycled
486,EM-RM-150a.1c,"The entity shall disclose the legal or regulatory framework(s) used to define hazardous waste and recycled hazardous waste, and the amounts of waste defined in accordance with each applicable framework."
487,EM-RM-150a.2a,Number of underground storage tanks (USTs)
488,EM-RM-150a.2b,Number of UST releases requiring cleanup
489,EM-RM-150a.2c,Percentage of UST releases requiring cleanup in states with UST financial assurance funds
490,EM-RM-320a.1a,Total recordable incident rate (TRIR) for full-time employees
491,EM-RM-320a.1b,Total recordable incident rate (TRIR) for contract employees
492,EM-RM-320a.1c,Fatality rate for full-time employees
493,EM-RM-320a.1d,Fatality rate for contract employees
494,EM-RM-320a.1e,Near miss frequency rate for full-time employees
495,EM-RM-320a.1f,Near miss frequency rate for contract employees
496,EM-RM-320a.2a,Discussion of management systems used to integrate a culture of safety
497,EM-RM-410a.1a,Percentage of Renewable Volume Obligation (RVO) met through production of renewable fuels
498,EM-RM-410a.1b,Percentage of Renewable Volume Obligation (RVO) met through purchase of “separated” renewable identification numbers (RIN)
499,EM-RM-410a.2a,Total addressable market for advanced biofuels and associated infrastructure
500,EM-RM-410a.2b,Total addressable share of market for advanced biofuels and associated infrastructure
501,EM-RM-520a.1a,Total amount of monetary losses as a result of legal proceedings associated with price fixing or price manipulation
502,EM-RM-520a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
503,EM-RM-530a.1a,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry
504,EM-RM-540a.1a,Process Safety Event (PSE) rates for Loss of Primary Containment (LOPC) of greater consequence (Tier 1)
505,EM-RM-540a.1b,Process Safety Event (PSE) rates for Loss of Primary Containment (LOPC) of lesser consequence (Tier 2)
506,EM-RM-540a.2a,Challenges to Safety Systems indicator rate (Tier 3)
507,EM-RM-540a.3a,Discussion of measurement of Operating Discipline and Management System Performance through Tier 4 Indicators
508,EM-SV-000.Aa,Number of active rig sites
509,EM-SV-000.Ba,Number of active well sites
510,EM-SV-000.Ca,Total amount of drilling performed
511,EM-SV-000.Da,Total number of hours worked by all employees
512,EM-SV-110a.1a,Total fuel consumed
513,EM-SV-110a.1b,Percentage renewable of total fuel consumed
514,EM-SV-110a.1c,Percentage used in on-road equipment and vehicles of total fuel consumed
515,EM-SV-110a.1d,Percentage used in off-road equipment of total fuel consumed
516,EM-SV-110a.2a,"Description of strategy or plans to address air emissions-related risks, opportunities, and impacts"
517,EM-SV-110a.3a,Percentage of engines in service that meet Tier 4 compliance for non-road diesel engine emissions
518,EM-SV-140a.1a,Total volume of fresh water handled in operations
